code_parent,code_parent_desc,count(*)
ESP1277,A DL Weill Arménie à Esclangon,32
ESP1278,R Sémard park Antenne 1,12
ESP1279,Trémie tram ang Berriat,4
ESP128,R Reynies Gnal Mangin Sq Foch,1
ESP1280,R Charles Berthier,19
ESP1281,R Emile Gueymard,43
ESP1282,R Esclangon park HLM,7
ESP1283,Ec mat Berriat r Anthoard,9
ESP1284,Ec pr Berriat R A Grégoire,6
ESP1285,R des Arts pas Colbert,4
ESP1286,Sq Waldeck Rousseau crêche,2
ESP1287,Bd J Vallier voie tram pair,52
ESP1288,R DrGreffier,20
ESP1289,R de Londres ang Paris,1
ESP129,Halte gard cité Abry,5
ESP1290,R Léon Drivier,5
ESP1291,A Lorraine impair Gamb VHugo,5
ESP1292,R DrBailly,14
ESP1293,R Thiers pair Condorcet Test,9
ESP1294,Sq Vallois Montorge Belgrade,8
ESP1295,Pl des Tilleuls,4
ESP1296,Jaurés impair Jansens Turenne,12
ESP1297,Pl Pasteur Bistesi Joffre,6
ESP1298,Pl Pasteur Bistesi Régi Génie,15
ESP1299,Jard des Dauphins sommet ,41
ESP13,R W Killiam ang Irvoy,3
ESP130,Ec des frênes,17
ESP1300,Jard des Dauphins pelouses,30
ESP1301,Jard Dauphins 1ère terrasse ,30
ESP1302,Montée Chalemont R St Laurent ,26
ESP1303,Qu des Allobroges falaise,3
ESP1304,Res Dauphins 32-40 Qu France,42
ESP1305,Rte Lyon départ Via Ferrata,26
ESP1306,R H Frenay L Carnot à Marceau,26
ESP1307,R L Carnot Maginot à Frenay,12
ESP1308,R Marguerite Gonnet,12
ESP1309,R Cdt Rozan Janssen talus,13
ESP131,Pôle festif R L Jouhaux,47
ESP1310,Jard Hoche Ouest stabilisé arb,18
ESP1311,Jard Hoche pas Est Malraux,8
ESP1312,Jard Hoche Nord Ouest sport,13
ESP1313,Pc 3 H St Ferjus Chartr Belled,24
ESP1314,R de l'Alma,14
ESP1315,R Delacroix garage 1000 lacs,1
ESP1316,R des Fleurs ang Mortillet,1
ESP1317,Bd J Pain le long du Forum,10
ESP1318,R Malakoff devant la banque,4
ESP1319,R Eugène Faure ang R Mably,2
ESP132,R H Duhamel ang Musset Pupin,4
ESP1320,R Malakoff le Forum,4
ESP1321,Sq St Eynard massif,10
ESP1322,Sq St Eynard station taxis ,17
ESP1323,Ave Randon Ronde à Girard,5
ESP1324,Cité Vignes Huchon à Halage,30
ESP1325,R Hauquelin n 01,1
ESP1326,Ave Rh Danube L Michel Greta,18
ESP1327,Jard Plantes J à la française,34
ESP1328,Maison de la Nature,16
ESP1329,Cité Mistral derr n 70 park,4
ESP133,Av Constantine Gym des saules,27
ESP1330,Crs Libé Verlaine Bauvert,35
ESP1331,Le Rondeau coté impair,24
ESP1332,Le Rondeau coté pair,13
ESP1333,R A Césaire devant collège,8
ESP1334,R A France Schwetzer Plateau,11
ESP1335,R Capitaine Camine park ,10
ESP1336,R Gén Mangin Sq dev immeubles,20
ESP1337,Prc Mis pel Est Mairie ,15
ESP1338,R L Jouhaux Manteyer Cocat,27
ESP1339,Av J O Valles Poterne sép,47
ESP134,Av Malherbe pe face écoles,13
ESP1340,Cité Chatelet Wash Poincare,63
ESP1341,Av J O Wash à L Jouhaux sép,29
ESP1342,R N Boileau et Mansard,33
ESP1343,R Frederico Garcia Lorca park,18
ESP1344,Ch la Poterne park derr stade,19
ESP1345,R L Jouhaux dev lycée Argouges,10
ESP1346,Cité Ab Chatelet Rivail 01à 09,11
ESP1348,Stade M Stijkovic,5
ESP1349,Av Bossuet Helbronner Racine,34
ESP135,Pl Gare arrêt Tram,30
ESP1350,R du Repos ang la Mogne ,2
ESP1351,R Flandrin / Pont Carpin,36
ESP1352,Av J O  J Perrot à Kaunas,22
ESP1353,R Pascal Florian à La Bruyère,15
ESP1354,Sq Cdt Perraut R ,7
ESP1355,R C Genin n 22,3
ESP1356,Prc Mis bord park Est,19
ESP1357,Ec Beauvert av L Blum,7
ESP1358,Prc Mis Jard alpin bassin,35
ESP1359,Pc Ch Elysés pelouse Nord,50
ESP136,Ec mat Diderot,15
ESP1360,Bibliothèque Eaux Claires,8
