code_parent,code_parent_desc,count(*)
ESP849,Prc Mis tunnel du petit train,19
ESP85,R Col Driant cote Parc,13
ESP850,Prc Mis Est bassin grenouilles,20
ESP851,R Turgot n 05 vers la voute,3
ESP852,R Manteyer n 31,10
ESP853,Av J O Poterne caisse épargne,4
ESP854,R M Bourette nord contre bati,9
ESP855,Cité Teisseire le bassin Voirie,10
ESP856,Ch la Poterne st Vercors park,14
ESP857,R Pont Carpin intérieur,16
ESP858,Prc Ech Valmy Gallieni Voirie,12
ESP86,R J Bart pair,22
ESP860,Av J O Kaunas à Mantayer,6
ESP861,Ave Teisseire impair,24
ESP862,R du Repos tennis couverts,6
ESP863,Av Fenelon Littré à Boileau,12
ESP864,Av J Perrot Manteyer à JO sép,12
ESP865,Av Berthelot crédit agricole,13
ESP866,Bd Gallieni derrière 02 04 06,4
ESP867,Louvois entrée Prc Pompidou,18
ESP868,R Gén Mangin parc à chiens,17
ESP869,Prc Mis Est Palais des sports,148
ESP87,Av P Cocat Pltte de la poste,11
ESP870,Ec mat Elisée Chatin,15
ESP871,R Esmonin Rond point à Blum,13
ESP872,Pc Ch Elysés Ouest,194
ESP873,Bd J Vallier voie tram impair,55
ESP874,Pc Savane stab aire de jeux,18
ESP875,R R Salengro pel Hlle Blanche,56
ESP876,Av A Belgique Perrot Cornier,36
ESP877,Av Berthelot arrêt tram MC2,8
ESP878,Parc Soulage,109
ESP879,R de l'Echaillon,9
ESP88,R Argouges  Jouhaux à C Rivail,19
ESP880,R de l'Obiou pair,14
ESP881,R Stalingrad Balzac à Alliés,25
ESP882,R H de Balzac ang Jacquard,10
ESP883,R Jacquard ang H de Balzac,5
ESP884,R Jacquard Louvois à Kenedy,16
ESP885,Square Marcel Peretto,20
ESP886,R Lebrix ang L Lagrange,17
ESP887,Sq Roger Louis Lachat,10
ESP888,R Alliés Marquiand  Matussière,21
ESP889,R Déportés Vaillant  Bourget,11
ESP89,R René Lesage aire de jeux,3
ESP890,R Léo Lagrange trottoir park,40
ESP891,R Louvois,20
ESP892,R Ponsard ang Berthelot,2
ESP893,R du Mont Aiguille imm rond,15
ESP894,Cargo ang P Claudel Berthelot,9
ESP895,R Dent de Crolles square,5
ESP896,Pt de Catane Sud align Tram,7
ESP897,Pc Ch Elysés Maison l'enfance,62
ESP898,Pc Ch Elysés pel petit train,37
ESP899,Ec Mistral ave Rhin et Danube,16
ESP9,R Tarze D Savoyat à Vil lans,13
ESP90,Chem Guilbaut ouest,8
ESP900,R Salengro Drevet Ch Pit Nice,41
ESP901,Res La Bruyère 40 à 48,9
ESP902,R Esmonin talus IMT,65
ESP903,Baladins talus MJC,72
ESP904,Butte n 02 statue,40
ESP905,Hauts du PARC,21
ESP906,Chem du Parc bosquet,56
ESP907,Ec des buttes,15
ESP908,R Arlequin park Res LBruyère,21
ESP909,Cité Teisseire le bassin,47
ESP91,R L et A Lumière ang Pegoud,6
ESP910,Pl Ch Dullin partie centrale,69
ESP911,Pl L Jouvet n 02 à 06,5
ESP912,Sq H Mauchant grande pelouse,26
ESP913,Allée des Deux Mondes impair,19
ESP914,Sq Marcellin Berthelot,122
ESP915,Allée des Romantiques pair,87
ESP916,Ave La Bruyère impair,21
ESP917,R Pupin du tunnel à Esmonin,36
ESP918,Av Reynoard Dir dép du travail,12
ESP919,All des Frênes pel Cascatelles,12
ESP92,R Hypolite Muller,5
ESP920,R du 8 Mai 1945 voie bus talus,9
ESP921,Jard des Poêtes,85
ESP922,Al de la Sylphide ang Vigny,8
ESP923,Centre social Prémol patio,3
ESP924,Av La Bruyère pak commerces,5
ESP925,Pl des Géants 80 croix du sud,32
ESP926,Av LBruyère Collibris Reynoard,2
ESP927,Allée du Verderet,15
ESP928,Garage central Malherbe Sud,8
ESP929,R L Jouhaux ang Cocat Ravanat,4
ESP93,R A Vigny Malarme Maupassant,9
ESP930,Av P Cocat Tour n 16,10
ESP931,Pl Ch Dullin pair,5
ESP932,Ec prim Malherbe 25av Malherbe,11
ESP933,Esp petite enfance N Valin,9
ESP934,Pl St Bruno abords de l'église,11
ESP935,Crêche Goélette Qu la Graille,4
ESP936,R Mayen ang Berriat Thomas,7
ESP937,Sq des Fusillés,28
ESP938,R Arago ang E Gueymard,2
ESP939,Crêche Goélette q la Graille,2
ESP94,R Esmonin IMT,16
ESP940,Ec C Bernard q la Graille,5
ESP941,Bd J Vallier de Irvoy à Ampère,39
ESP942,Sq des Fusillés part centrale,26
ESP943,Sq J Macé Qu P L Merlin,15
ESP944,Sq R Genin et Park D Rochereau,42
ESP945,Minoterie Armand r R Thomas,18
ESP946,Ec prim n 55 R Ampère,21
ESP947,Chem de Ronde club bouliste,20
ESP948,R Bévière Voirie,10
ESP949,R Hermite ang Raspail,3
ESP95,Crique sud sortie R Dodero,5
ESP950,R Hermite zone lustucru,12
ESP951,R Hermite lustucru,31
ESP952,R Georges Bizet,13
ESP953,R N Chorier ang J Prevost,6
ESP954,Parc Vallier partie centrale,45
ESP955,Cimetière du Petit Sablon,53
ESP956,R C Démoulins ang Turenne,8
ESP957,R Frédéric Taulier,12
ESP958,Pl Ste Claire,8
ESP959,Qu Claude Brosse,19
ESP96,Grande pelouse massif aligne,107
ESP960,Bd Esplan face n 02 à 44,43
ESP961,Bd Foch Tram Marceau Lanoyerie,16
ESP962,Bd Joffre tram Pasteur Rivet,40
ESP963,Caser Bonne Vallons Marceau,71
ESP964,Chem bois Artas mais retraite,9
ESP965,Pl Valentin Hauÿ,25
ESP966,R Berthe de Boissieux,21
ESP967,R J Bistesi tram Chavant,2
ESP968,R L Carnot côté Championnet,3
ESP969,R Lesdiguières Est Gambetta,22
ESP97,Cité Teisseire Jard des buttes,32
ESP970,Ave Randon imp Calv St Eynard,11
ESP971,Pl Emé de Marcieu,5
ESP972,Jard Hoche Sud couronne extér,38
ESP973,Jard Hoche pelouse Est,23
ESP974,Pc 3 H St Ferjus terr pétanque,27
ESP975,R de la Magnanerie,4
ESP976,Bd des Adieux park et tennis ,7
ESP977,Cité de l'Alma,24
ESP978,Crèche du Vieux Temple,14
ESP979,Ec prim Bizanet 51 ave Randon,13
ESP98,R Stalingrad Vigny à Ma Oisans,15
ESP980,Ave Rh Danube dev éc A France,7
ESP981,Jard Plantes le long J Pain,20
ESP982,Jard Plantes butte musée,12
ESP983,Crs Libération Ronsard Reynier,28
ESP984,Cité Mistral R A Thomas 16 20,8
ESP985,Cité Mistral R A Thomas n 20,7
ESP986,R Sidi Brahim face n 18,1
ESP987,R A France pk Vaucanson Camine,13
ESP988,Cité Mistral R A France n 45,5
ESP989,Parc du Clos d'Or Stalingrad,69
ESP99,Sq du Pas de l'aiguille,44
ESP990,Bd Diable Bles Perrot Pasteur,8
ESP991,Prc Mis dans vivaces Mairie,27
ESP992,Prc Mis Tr Perret Pel Nord/Est,8
ESP993,Prc Mis Esplan des communes,17
ESP994,Allée Ch Pranard,13
ESP995,Prc Echangeurs Bastion St Roch,396
ESP996,Av J d'Arc Perreau  C Genin,9
ESP997,Chem Barral ang Villebois,7
ESP998,Sq Cdt Perraut,23
ESP999,R G Philippe crédit agricole,20
